zdanie_nieformalne,zdanie_formalne,model,generator
"Ta kawa jest jak lura, bez smaku.",Ta kawa jest bardzo słaba i pozbawiona smaku.,gemini-2.5,seba
"Spoko, pomogę ci z tym.","Oczywiście, pomogę Panu/Pani w tej kwestii.",gemini-2.5,seba
Ten serial mnie nudzi.,Ten serial wydaje mi się nieinteresujący.,gemini-2.5,seba
Nie mam hajsu na takie zachcianki.,Nie dysponuję środkami finansowymi na takie kaprysy.,gemini-2.5,seba
"Ale fart, znalazłem zgubiony klucz!","Co za szczęście, odnalazłem zgubiony klucz!",gemini-2.5,seba
Trzeba to załatwić na cito.,Należy załatwić tę sprawę w trybie pilnym.,gemini-2.5,seba
Ten nowy update zepsuł apkę.,Ta nowa aktualizacja spowodowała błędy w aplikacji.,gemini-2.5,seba
Muszę się wziąć za siebie i zacząć ćwiczyć.,Muszę się zmobilizować i rozpocząć regularne ćwiczenia fizyczne.,gemini-2.5,seba
"Nie marudź, tylko działaj.",Proszę przestać narzekać i zacząć działać.,gemini-2.5,seba
Ale dzisiaj skwar na dworze.,Dzisiaj na zewnątrz panuje duży upał.,gemini-2.5,seba
Ten facet to niezły kombinator.,Ten mężczyzna jest osobą skłonną do kombinowania/nieuczciwych praktyk.,gemini-2.5,seba
"Gitara gra, wszystko działa.","Wszystko jest w porządku, wszystko funkcjonuje prawidłowo.",gemini-2.5,seba
Ta muza jest idealna na wieczór.,Ta muzyka doskonale nadaje się na wieczorny relaks.,gemini-2.5,seba
"Nie mam jak rozmienić, sorry.","Niestety, nie mam możliwości rozmienić pieniędzy.",gemini-2.5,seba
Ale odwaliłeś manianę.,Popełnił Pan/Pani poważny błąd / źle wykonał/wykonała zadanie.,gemini-2.5,seba
Trzeba zrobić remanent w magazynie.,Należy przeprowadzić inwentaryzację w magazynie.,gemini-2.5,seba
Ten projekt to była orka na ugorze.,Realizacja tego projektu wymagała ogromnego wysiłku przy niewielkich efektach.,gemini-2.5,seba
"Nie bądź taki spięty, luzik.","Proszę się nie denerwować, proszę się zrelaksować.",gemini-2.5,seba
Ta informacja rozeszła się lotem błyskawicy.,Ta informacja rozpowszechniła się bardzo szybko.,gemini-2.5,seba
Muszę kupić coś na ząb.,Muszę kupić coś do jedzenia.,gemini-2.5,seba
Co za kretyn to zaparkował?,Kto w tak nierozsądny sposób zaparkował pojazd?,gemini-2.5,seba
Ale masz super pomysł!,Ma Pan/Pani doskonały pomysł!,gemini-2.5,seba
"Dobra, fajrant, idziemy do domu.","W porządku, koniec pracy, idziemy do domu.",gemini-2.5,seba
Ten urlop to był strzał w dziesiątkę.,Ten urlop był doskonałym wyborem.,gemini-2.5,seba
Nie mam siły dzisiaj imprezować.,"Nie czuję się dzisiaj na siłach, aby imprezować.",gemini-2.5,seba
"Ale żenua, co on zrobił.","To, co on zrobił, było bardzo żenujące.",gemini-2.5,seba
Musimy przemyśleć naszą ofertę.,Musimy ponownie przeanalizować naszą ofertę.,gemini-2.5,seba
Ten hotel był całkiem na poziomie.,Ten hotel prezentował całkiem dobry standard.,gemini-2.5,seba
Weź no podrzuć mnie na dworzec.,Czy mógłbyś/mogłabyś podwieźć mnie na dworzec?,gemini-2.5,seba
Ale mnie dzisiaj nosi.,Jestem dzisiaj bardzo niespokojny/niespokojna / pełen/pełna energii.,gemini-2.5,seba
Ta kawa jest jak smoła.,Ta kawa jest bardzo mocna i gęsta.,gemini-2.5,seba
"Olej to, nie warto się przejmować.","Proszę to zignorować, nie warto się tym przejmować.",gemini-2.5,seba
"Ale wtopa, wysłałem maila nie do tej osoby.","Co za pomyłka, wysłałem wiadomość e-mail do niewłaściwej osoby.",gemini-2.5,seba
Ten soft jest mega prosty w obsłudze.,To oprogramowanie jest niezwykle łatwe w obsłudze.,gemini-2.5,seba
"Muszę się skupić, bo zaraz egzamin.","Muszę się skoncentrować, ponieważ wkrótce mam egzamin.",gemini-2.5,seba
"Nie kręć, powiedz prawdę.","Proszę nie kłamać/manipulować, proszę powiedzieć prawdę.",gemini-2.5,seba
"Ale figura, awansowałeś! Gratulacje!",Gratuluję awansu! Osiągnął Pan/Pani znaczącą pozycję!,gemini-2.5,seba
"Chodź, złapiemy trochę słońca.","Chodźmy na zewnątrz, aby skorzystać ze słonecznej pogody.",gemini-2.5,seba
Mam dość tych pustych obietnic.,Jestem zmęczony/zmęczona tymi bezwartościowymi obietnicami.,gemini-2.5,seba
Ten nowy ficzer w apce jest super.,Ta nowa funkcja w aplikacji jest doskonała.,gemini-2.5,seba
Ale ona umie owinąć sobie ludzi wokół palca.,Ona potrafi doskonale manipulować ludźmi.,gemini-2.5,seba
Trzeba by odświeżyć garderobę na wiosnę.,Należałoby uzupełnić/odświeżyć swoją garderobę na sezon wiosenny.,gemini-2.5,seba
"Nie mam bladego pojęcia, jak to działa.","Nie mam najmniejszego pojęcia, w jaki sposób to funkcjonuje.",gemini-2.5,seba
"Ale jazda, zgubiłem telefon!","Co za sytuacja, zgubiłem telefon!",gemini-2.5,seba
Ten menedżer jest strasznie spoko.,Ten menedżer jest bardzo sympatyczny/w porządku.,gemini-2.5,seba
"Dobra, przybij piątkę, udało się!","Świetnie, gratuluję sukcesu!",gemini-2.5,seba
"Muszę naładować akumulatory, bo jestem padnięty.","Muszę odpocząć i zregenerować siły, ponieważ jestem wyczerpany/wyczerpana.",gemini-2.5,seba
Nie chcę słuchać tych jego mądrości.,Nie mam ochoty słuchać jego pouczeń/wymądrzania się.,gemini-2.5,seba
"Ale kompromitacja, pomyliłem prezentacje.","Co za kompromitująca sytuacja, pomyliłem prezentacje.",gemini-2.5,seba
Ten artykuł to stek bzdur.,Ten artykuł zawiera wiele nieprawdziwych informacji/nonsensów.,gemini-2.5,seba
"Weź się w garść, dasz radę!","Proszę się zmobilizować, z pewnością Pan/Pani sobie poradzi!",gemini-2.5,seba
Ale ta sałatka jest pycha!,Ta sałatka jest przepyszna!,gemini-2.5,seba
Trzeba pomyśleć o strategii marketingowej.,Należy opracować strategię marketingową.,gemini-2.5,seba
Nie mam już siły na te nadgodziny.,"Jestem zbyt zmęczony/zmęczona, aby kontynuować pracę w nadgodzinach.",gemini-2.5,seba
Ten koleś jest strasznie nadęty.,Ten mężczyzna jest bardzo arogancki/zarozumiały.,gemini-2.5,seba
"Ekstra, że się zgodziłeś!","Wspaniale, że wyraził Pan/Pani zgodę!",gemini-2.5,seba
Ta pogoda przyprawia mnie o ból głowy.,Ta pogoda powoduje u mnie ból głowy.,gemini-2.5,seba
Nie mam dzisiaj weny twórczej.,Nie odczuwam dzisiaj inspiracji twórczej.,gemini-2.5,seba
Ale on ma łeb na karku.,On jest bardzo inteligentny/przedsiębiorczy.,gemini-2.5,seba
Zróbmy szybkie podsumowanie spotkania.,Dokonajmy krótkiego podsumowania spotkania.,gemini-2.5,seba
"Ten bug jest upierdliwy, ciągle wraca.","Ten błąd jest uciążliwy, ponieważ ciągle się pojawia.",gemini-2.5,seba
Nie chce mi się ruszać tyłka z domu.,Nie mam ochoty wychodzić dzisiaj z domu.,gemini-2.5,seba
"Ale dym, pokłócili się na zebraniu.","Co za awantura, pokłócili się podczas zebrania.",gemini-2.5,seba
Ten tekst jest napisany jakimś bełkotem.,Ten tekst jest napisany w sposób niezrozumiały/chaotyczny.,gemini-2.5,seba
"Daj mi znać ASAP, czy pasuje ci termin.","Proszę o pilną informację, czy proponowany termin jest dla Pana/Pani odpowiedni.",gemini-2.5,seba
Ale ten deser wygląda obłędnie!,Ten deser prezentuje się zjawiskowo!,gemini-2.5,seba
"Muszę ograniczyć kawę, bo źle sypiam.","Muszę ograniczyć spożycie kawy, ponieważ mam problemy ze snem.",gemini-2.5,seba
"Nie pieprz głupot, tylko mów konkrety.","Proszę nie mówić niedorzeczności, proszę przejść do konkretów.",gemini-2.5,seba
"Ale miałem pecha, mandat dostałem.","Miałem dzisiaj pecha, otrzymałem mandat karny.",gemini-2.5,seba
Ten nowy gadżet jest mega fajny.,Ten nowy gadżet jest bardzo interesujący/atrakcyjny.,gemini-2.5,seba
"Dobra, kończymy tę dyskusję, bo do niczego nie prowadzi.","Zakończmy tę dyskusję, ponieważ nie przynosi ona rezultatów.",gemini-2.5,seba
Mam problem z zalogowaniem się do systemu.,Napotykam trudności z zalogowaniem się do systemu.,gemini-2.5,seba
"Nie rób scen, przecież nic wielkiego się nie stało.","Proszę nie dramatyzować, nie wydarzyło się nic poważnego.",gemini-2.5,seba
Ale ten widok z góry zapiera dech!,Ten widok z góry jest zapierający dech w piersiach!,gemini-2.5,seba
Trzeba by odświeżyć znajomość angielskiego.,Należałoby odświeżyć swoją znajomość języka angielskiego.,gemini-2.5,seba
"Mam doła, nic mi się nie chce.","Czuję się przygnębiony/przygnębiona, nie mam na nic ochoty.",gemini-2.5,seba
Ten gość to niezły farciarz.,Ta osoba ma wyjątkowe szczęście.,gemini-2.5,seba
"Luz, wszystko pod kontrolą.","Spokojnie, sytuacja jest pod kontrolą.",gemini-2.5,seba
Ta apka jest totalnie bezużyteczna.,Ta aplikacja jest całkowicie nieprzydatna.,gemini-2.5,seba
Nie mam siły na gotowanie dzisiaj.,"Jestem zbyt zmęczony/zmęczona, aby dzisiaj gotować.",gemini-2.5,seba
Ale ona ma świetny gust muzyczny.,Ona posiada doskonały gust muzyczny.,gemini-2.5,seba
"Co ty opowiadasz, to nieprawda!","To, co Pan/Pani opowiada, jest nieprawdą!",gemini-2.5,seba
Trzeba by się zgadać na jakiś wypad za miasto.,Należałoby umówić się na jakiś wyjazd poza miasto.,gemini-2.5,seba
Nie mam kasy na takie luksusy.,Nie stać mnie na takie luksusy.,gemini-2.5,seba
"Ale zonk, zgubiłem portfel.","Co za pechowa sytuacja, zgubiłem portfel.",gemini-2.5,seba
Ten nowy film to totalna klapa.,Ten nowy film okazał się całkowitą porażką.,gemini-2.5,seba
"Muszę się wziąć do roboty, bo terminy gonią.","Muszę przystąpić do pracy, ponieważ zbliżają się terminy.",gemini-2.5,seba
"Nie panikuj, ogarniemy to razem.","Proszę nie panikować, poradzimy sobie z tym wspólnie.",gemini-2.5,seba
Ale ten deser jest niebo w gębie!,Ten deser jest wyjątkowo smaczny!,gemini-2.5,seba
"Dobra, widzimy się jutro w biurze.","W porządku, do zobaczenia jutro w biurze.",gemini-2.5,seba
Mam dość tego ciągłego narzekania.,Jestem zmęczony/zmęczona tym ciągłym narzekaniem.,gemini-2.5,seba
"Nie udawaj Greka, wiem, że wiesz.","Proszę nie udawać niewiedzy, wiem, że Pan/Pani wie.",gemini-2.5,seba
"Ale przypał, spóźniłem się na ważne spotkanie.","Co za kłopotliwa sytuacja, spóźniłem się na ważne spotkanie.",gemini-2.5,seba
"Chodźmy na piwo, odreagujemy stres.","Chodźmy na piwo, aby odreagować stres.",gemini-2.5,seba
Ta robota daje mi nieźle w kość.,Ta praca jest dla mnie bardzo wyczerpująca fizycznie/psychicznie.,gemini-2.5,seba
"Muszę skończyć to zadanie, inaczej będzie lipa.","Muszę ukończyć to zadanie, w przeciwnym razie będą problemy.",gemini-2.5,seba
"Nie rób scen publicznie, proszę.",Proszę nie wywoływać scen publicznie.,gemini-2.5,seba
Ale dzisiaj jestem rozkojarzony.,Jestem dzisiaj bardzo zdekoncentrowany/zdekoncentrowana.,gemini-2.5,seba
Ten mem jest genialny.,Ten mem internetowy jest bardzo pomysłowy/zabawny.,gemini-2.5,seba
"Przekaż dalej tę informację, ok?","Proszę przekazać tę informację dalej, dobrze?",gemini-2.5,seba
Ale ten nowy kolega jest kumaty.,Ten nowy kolega jest bardzo inteligentny/rozgarnięty.,gemini-2.5,seba
Trzeba by zrobić spotkanie statusowe projektu.,Należałoby zorganizować spotkanie dotyczące statusu projektu.,gemini-2.5,seba
Nie mam teraz głowy do small talku.,Nie jestem teraz w nastroju do niezobowiązującej rozmowy.,gemini-2.5,seba
Ten zegarek ma kupę fajnych funkcji.,Ten zegarek posiada wiele interesujących funkcji.,gemini-2.5,seba
Co ty wygadujesz za bzdury?,Jakie nonsensy Pan/Pani opowiada?,gemini-2.5,seba
"Dobra, umowa podpisana, działamy.","W porządku, umowa została podpisana, przystępujemy do działania.",gemini-2.5,seba
Ale sajgon w kuchni po imprezie.,W kuchni panuje ogromny bałagan po imprezie.,gemini-2.5,seba
Ten regulamin jest nie do przejścia.,Ten regulamin jest bardzo skomplikowany/trudny do zrozumienia.,gemini-2.5,seba
"Muszę się zrelaksować, może jakiś film?","Muszę odpocząć, może obejrzę jakiś film?",gemini-2.5,seba
"Nie bądź taki drętwy, pobaw się trochę.","Proszę nie być tak sztywnym/poważnym, proszę się trochę rozerwać.",gemini-2.5,seba
"Ale plama, zapomniałem o jej urodzinach.","Co za gafa, zapomniałem o jej urodzinach.",gemini-2.5,seba
Ta kawa smakuje jak pomyje.,Ta kawa ma bardzo zły smak.,gemini-2.5,seba
"Spoko, nie ma sprawy, załatwione.","Oczywiście, żaden problem, sprawa załatwiona.",gemini-2.5,seba
Ten kurs online jest naprawdę wartościowy.,Ten kurs internetowy dostarcza naprawdę wartościowej wiedzy.,gemini-2.5,seba
Nie mam hajsu na wyjazd wakacyjny w tym roku.,Nie dysponuję środkami finansowymi na wyjazd wakacyjny w bieżącym roku.,gemini-2.5,seba
"Ale fart, uniknąłem korka!","Co za szczęście, udało mi się ominąć korek drogowy!",gemini-2.5,seba
Trzeba to załatwić raz a dobrze.,Należy załatwić tę sprawę definitywnie i skutecznie.,gemini-2.5,seba
Ta nowa wersja systemu ma bugi.,Ta nowa wersja systemu zawiera błędy.,gemini-2.5,seba
Muszę się wziąć za czytanie zaległych książek.,"Muszę zacząć czytać książki, które od dawna czekają.",gemini-2.5,seba
"Nie ględź tyle, tylko powiedz o co chodzi.","Proszę przestać mówić bez celu i wyjaśnić, o co chodzi.",gemini-2.5,seba
"Ale dzisiaj parówa, nie da się wytrzymać.","Dzisiaj panuje bardzo wysoka temperatura i wilgotność, trudno to znieść.",gemini-2.5,seba
Ten typ to niezły oszust.,Ten mężczyzna jest prawdopodobnie oszustem.,gemini-2.5,seba
"Elegancko, wszystko poszło gładko.","Doskonale, wszystko przebiegło bezproblemowo.",gemini-2.5,seba
Ta piosenka ma fajny bit.,Ta piosenka ma interesujący rytm.,gemini-2.5,seba
"Nie mam jak ci teraz pomóc, jestem zajęty.","Nie mogę Panu/Pani teraz pomóc, ponieważ jestem zajęty/zajęta.",gemini-2.5,seba
Ale dałeś popis na prezentacji!,Dał Pan/Pani znakomity występ podczas prezentacji!,gemini-2.5,seba
Trzeba zrobić audyt bezpieczeństwa.,Należy przeprowadzić audyt bezpieczeństwa.,gemini-2.5,seba
Ten projekt to była droga przez mękę.,Realizacja tego projektu była niezwykle trudna i żmudna.,gemini-2.5,seba
"Nie bądź taki sztywniak, wyluzuj trochę.","Proszę nie być tak formalnym/spiętym, proszę się trochę zrelaksować.",gemini-2.5,seba
Ta wiadomość obiegła całe biuro.,Ta wiadomość szybko rozprzestrzeniła się po całym biurze.,gemini-2.5,seba
Muszę kupić coś na kolację.,Muszę zakupić produkty na kolację.,gemini-2.5,seba
Co za idiota tak zaparkował?!,Kto tak nierozważnie zaparkował pojazd?!,gemini-2.5,seba
Ale masz świetną pamięć!,Posiada Pan/Pani doskonałą pamięć!,gemini-2.5,seba
"Dobra, fajrant, zwijamy się.","W porządku, koniec pracy, zbieramy się do wyjścia.",gemini-2.5,seba
Ten wyjazd integracyjny był super.,Ten wyjazd integracyjny był bardzo udany.,gemini-2.5,seba
Nie mam ochoty na towarzystwo dzisiaj.,Nie mam dzisiaj ochoty na spotkania towarzyskie.,gemini-2.5,seba
"Ale siara, powiedziałem coś głupiego.","Co za wstyd, powiedziałem coś niemądrego.",gemini-2.5,seba
Musimy przemyśleć strategię cenową.,Musimy ponownie rozważyć strategię cenową.,gemini-2.5,seba
Ten pensjonat był całkiem przytulny.,Ten pensjonat był całkiem komfortowy i miły.,gemini-2.5,seba
"Weź no sprawdź, czy drzwi zamknięte.","Czy mógłbyś/mogłabyś sprawdzić, czy drzwi są zamknięte?",gemini-2.5,seba
Ale mnie dzisiaj energia rozpiera!,Czuję dzisiaj ogromny przypływ energii!,gemini-2.5,seba
Ta herbata jest jak lura.,Ta herbata jest bardzo słaba.,gemini-2.5,seba
"Spoko, olejmy to, szkoda nerwów.","W porządku, zignorujmy to, nie warto się denerwować.",gemini-2.5,seba
"Ale wtopa, zapomniałem o rocznicy.","Co za gafa, zapomniałem o rocznicy.",gemini-2.5,seba
Ten program jest banalnie prosty w obsłudze.,Ten program jest wyjątkowo łatwy w obsłudze.,gemini-2.5,seba
"Muszę się skupić, żeby nie zrobić błędu.","Muszę się skoncentrować, aby uniknąć popełnienia błędu.",gemini-2.5,seba
"Nie mydl mi oczu, wiem jak jest.","Proszę nie próbować mnie oszukać, znam prawdę.",gemini-2.5,seba
Ale z ciebie szczęściarz!,Jest Pan/Pani prawdziwym szczęściarzem/szczęściarą!,gemini-2.5,seba
"Chodź, zaczerpniemy świeżego powietrza.","Chodźmy na zewnątrz, aby zaczerpnąć świeżego powietrza.",gemini-2.5,seba
Mam dosyć tych jego wymówek.,Jestem zmęczony/zmęczona jego ciągłymi wymówkami.,gemini-2.5,seba
Ta nowa funkcja w systemie jest ekstra.,Ta nowa funkcja w systemie jest doskonała.,gemini-2.5,seba
Ale ona potrafi załatwić każdą sprawę.,Ona potrafi skutecznie załatwić każdą sprawę.,gemini-2.5,seba
Trzeba by odświeżyć kontakty biznesowe.,Należałoby odnowić kontakty biznesowe.,gemini-2.5,seba
"Nie mam zielonego pojęcia, o co mu chodziło.","Nie mam najmniejszego pojęcia, co miał na myśli.",gemini-2.5,seba
"Ale cyrk, zgubili moje zamówienie!","Co za absurdalna sytuacja, zgubiono moje zamówienie!",gemini-2.5,seba
Ten kierownik jest naprawdę w porządku.,Ten kierownik jest naprawdę kompetentny i sprawiedliwy.,gemini-2.5,seba
"Dobra, jesteśmy umówieni.","W porządku, ustaliliśmy warunki spotkania/współpracy.",gemini-2.5,seba
Muszę się zregenerować po ciężkim tygodniu.,Muszę odpocząć i zregenerować siły po trudnym tygodniu pracy.,gemini-2.5,seba
Nie chce mi się słuchać tego ględzenia.,Nie mam ochoty słuchać tego bezcelowego mówienia.,gemini-2.5,seba
Ale kompromitacja na całej linii.,To była całkowita kompromitacja.,gemini-2.5,seba
Ten raport to jakaś fuszerka.,Ten raport został wykonany niestarannie/nieprofesjonalnie.,gemini-2.5,seba
"Weź się ogarnij, bo zawalisz termin.","Proszę się zmobilizować, ponieważ może Pan/Pani nie dotrzymać terminu.",gemini-2.5,seba
Ale ta zupa jest przepyszna!,Ta zupa jest wyjątkowo smaczna!,gemini-2.5,seba
Trzeba pomyśleć o planie B.,Należy opracować plan alternatywny.,gemini-2.5,seba
Nie mam siły na dodatkowe obowiązki.,"Jestem zbyt zmęczony/zmęczona, aby podjąć się dodatkowych obowiązków.",gemini-2.5,seba
Ten typek jest strasznie irytujący.,Ta osoba jest bardzo irytująca.,gemini-2.5,seba
"Rewelacja, że się udało to załatwić!","Wspaniale, że udało się pomyślnie zakończyć tę sprawę!",gemini-2.5,seba
"Ta pogoda sprawia, że jestem senny.",Ta pogoda powoduje u mnie senność.,gemini-2.5,seba
Nie mam dzisiaj flow do pracy.,Nie czuję dzisiaj przepływu/łatwości w pracy.,gemini-2.5,seba
Ale on ma łeb do interesów.,On ma doskonałe wyczucie biznesowe.,gemini-2.5,seba
Zróbmy szybki update statusu.,Dokonajmy szybkiej aktualizacji statusu zadania/projektu.,gemini-2.5,seba
Ten bug w kodzie jest trudny do znalezienia.,Ten błąd w kodzie źródłowym jest trudny do zlokalizowania.,gemini-2.5,seba
Nie chce mi się dzisiaj wychodzić z łóżka.,Nie mam dzisiaj ochoty wstawać z łóżka.,gemini-2.5,seba
Ale burdel w tym pokoju.,W tym pokoju panuje ogromny nieporządek.,gemini-2.5,seba
Ten artykuł jest napisany strasznie chaotycznie.,Ten artykuł został napisany w sposób bardzo chaotyczny.,gemini-2.5,seba
Potwierdź proszę odbiór maila.,Proszę o potwierdzenie otrzymania wiadomości e-mail.,gemini-2.5,seba
Ale ten koktajl jest orzeźwiający!,Ten koktajl jest bardzo orzeźwiający!,gemini-2.5,seba
"Muszę ograniczyć social media, bo tracę czas.","Muszę ograniczyć korzystanie z mediów społecznościowych, ponieważ marnuję czas.",gemini-2.5,seba
"Nie piernicz, tylko mów jak jest naprawdę.","Proszę nie mówić nieprawdy, proszę przedstawić fakty.",gemini-2.5,seba
Ale miałem stresa przed rozmową kwalifikacyjną.,Odczuwałem duży stres przed rozmową kwalifikacyjną.,gemini-2.5,seba
Ten nowy soft jest całkiem intuicyjny.,To nowe oprogramowanie jest dość intuicyjne w obsłudze.,gemini-2.5,seba
